id,original_filename,source_path,upload_filename,status,result_filename,notes
DW_037,_R6A6995.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\02\_R6A6995.jpg,DW_037_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_038,_R6A7004.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\02\_R6A7004.jpg,DW_038_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_039,_R6A7005.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\02\_R6A7005.jpg,DW_039_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_040,_R6A7191.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7191.jpg,DW_040_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_041,_R6A7192.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7192.jpg,DW_041_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_042,_R6A7194.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7194.jpg,DW_042_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_043,_R6A7201.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7201.jpg,DW_043_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_044,_R6A7202.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7202.jpg,DW_044_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_045,_R6A7203.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7203.jpg,DW_045_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_046,_R6A7204.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7204.jpg,DW_046_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_047,_R6A7212.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7212.jpg,DW_047_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_048,_R6A7213.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPOSW310-燕麦色\03\_R6A7213.jpg,DW_048_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_049,_R6A6230.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPTSW303-浅卡其色\01\_R6A6230.jpg,DW_049_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
DW_050,_R6A6233.jpg,D:\Toni\code\得物生图\data\imports\8JB0aTpU\U6BPTSW303-浅卡其色\01\_R6A6233.jpg,DW_050_original.jpg,rework,,"PhotoRoom rate limit active; retry after 7186 seconds. {""error"":{""message"":""Request was throttled. Expected available in 7186 seconds.""}}"
